,1 star,2 stars,3 stars,4 stars,5 stars,avg_rating,product_id,review_count
1564,3,0,3,13,56,4.6,2104727,75 reviews
1565,11,12,18,35,104,4.2,2028223,180 reviews
1566,3,13,4,37,152,4.5,1743509,209 reviews
1567,25,15,11,31,100,3.9,1805563,182 reviews
1568,1,3,4,3,6,3.6,2053379,17 reviews
1569,36,67,84,234,673,4.3,1845577,"1,094 reviews"
1570,12,11,16,25,78,4,2197705,142 reviews
1571,8,17,24,109,189,4.3,1875467,347 reviews
1572,37,38,75,405,"1,236",4.5,1850619,"1,791 reviews"
1573,13,10,6,13,55,3.9,2126068,97 reviews
1574,137,142,224,539,966,4,1389048,"2,008 reviews"
1575,0,0,0,0,3,5,2246213,3 reviews
1576,1,0,1,3,9,4.4,2225548,14 reviews
1577,12,14,24,95,267,4.4,1865419,412 reviews
1578,0,1,22,106,233,4.6,2232320,362 reviews
1579,2,1,5,8,52,4.6,1920420,68 reviews
1580,136,124,125,264,552,3.8,1884022,"1,201 reviews"
1581,25,45,82,315,730,4.4,302190,"1,197 reviews"
1582,18,13,25,35,104,4,2091593,195 reviews
1583,22,7,15,36,104,4,2040640,184 reviews
1584,10,11,9,18,53,3.9,2218022,101 reviews
1585,36,30,37,87,236,4.1,2055549,426 reviews
1586,8,7,40,253,628,4.6,1892835,936 reviews
1587,5,3,7,14,48,4.3,2139491,77 reviews
1588,1,0,5,11,46,4.6,2197903,63 reviews
1589,36,57,119,282,865,4.4,1783380,"1,359 reviews"
1590,26,28,28,51,163,4,2114296,296 reviews
1591,3,4,15,35,197,4.6,1989979,254 reviews
1592,11,10,20,67,162,4.3,2038560,270 reviews
1593,12,15,12,29,147,4.3,2064293,215 reviews
1594,5,6,30,117,216,4.4,1960541,374 reviews
1595,2,3,2,8,73,4.7,2088573,88 reviews
1596,0,0,2,1,13,4.7,2130649,16 reviews
1597,7,8,21,56,235,4.5,1972157,327 reviews
1598,14,16,30,75,202,4.3,1651546,337 reviews
1599,2,6,12,17,64,4.3,1797562,101 reviews
1600,49,21,26,40,109,3.6,2036515,245 reviews
1601,2,4,4,25,64,4.5,2225894,99 reviews
1602,0,0,0,3,28,4.9,2197630,31 reviews
1603,14,32,48,76,207,4.1,2212025,377 reviews
1604,354,369,367,529,"1,015",3.6,1851476,"2,634 reviews"
1605,2,3,2,15,54,4.5,2144616,76 reviews
1606,5,12,17,42,139,4.4,1846450,215 reviews
1607,12,15,30,61,275,4.5,1911817,393 reviews
1608,23,44,47,149,357,4.2,2058469,620 reviews
1609,2,1,1,3,24,4.5,2050060,31 reviews
1610,12,2,5,10,21,3.5,2237758,50 reviews
1611,12,6,20,25,65,4,2151348,128 reviews
1612,17,22,49,151,328,4.3,1483296,567 reviews
1613,14,20,40,100,318,4.4,1287580,492 reviews
1614,4,5,9,5,23,3.8,2239226,46 reviews
1615,16,21,66,319,715,4.5,2029254,"1,137 reviews"
1616,23,14,23,88,256,4.3,1958917,404 reviews
1617,3,2,5,17,71,4.5,2074789,98 reviews
1618,7,6,12,54,176,4.5,1780857,255 reviews
1619,3,1,1,2,23,4.4,2229250,30 reviews
1620,28,31,26,59,118,3.8,1812965,262 reviews
1621,3,3,8,6,49,4.4,2176667,69 reviews
1622,1,2,5,9,35,4.4,2202232,52 reviews
1623,45,54,136,665,"2,010",4.6,1829696,"2,910 reviews"
1624,13,16,25,68,131,4.1,1674787,253 reviews
1625,1,0,0,2,5,4.3,2104966,8 reviews
1626,0,0,0,4,21,4.8,2185577,25 reviews
1627,43,28,41,88,380,4.3,2009512,580 reviews
1628,41,45,62,159,570,4.3,2026847,877 reviews
1629,7,9,11,43,121,4.4,1783794,191 reviews
1630,2,1,2,7,17,4.2,2216489,29 reviews
1631,0,2,5,6,19,4.3,2169324,32 reviews
1632,8,6,6,3,25,3.6,2022382,48 reviews
1633,1,5,5,10,18,4,2117083,39 reviews
1634,10,21,34,70,232,4.3,1818277,367 reviews
