brand_name,category,imageAltText,isLimitedEdition,isNew,isOnlineOnly,isSephoraExclusive,listPrice,salePrice,skuId,skuType,valuePrice,review_count,target
LAWLESS,foundation-makeup,LAWLESS - Woke Up Like This Flawless Finish Foundation,False,False,False,False,46.0,0.0,2079804,Standard,,39,0
stila,foundation-makeup,stila - Stay All Day Foundation + Concealer,False,False,False,False,40.0,0.0,1968981,Standard,,46,0
Josie Maran,foundation-makeup,Josie Maran - Argan Matchmaker Serum Foundation,False,False,False,False,45.0,0.0,1820943,Standard,,357,0
tarte,foundation-makeup,tarte - Clay Stick Foundation,False,False,False,False,39.0,0.0,1952746,Standard,,123,0
KEVYN AUCOIN,foundation-makeup,KEVYN AUCOIN - The Etherealist Foundation,False,False,False,False,58.0,0.0,1869734,Standard,,37,0
Shiseido,foundation-makeup,Shiseido - Sports BB SPF 50+,False,False,False,False,38.0,0.0,2219673,Standard,,3,0
Dior,foundation-makeup,Dior - Capture Dreamskin Fresh & Perfect Cushion Broad Spectrum SPF 50 Refill,False,False,False,False,42.0,0.0,2145381,Standard,,5,0
COVER FX,foundation-makeup,COVER FX - Custom Cover Drops,False,False,False,False,29.0,0.0,2212777,Standard,,7,0
BECCA,foundation-makeup,BECCA - Skin Love Weightless Blur Foundation,False,False,False,False,44.0,0.0,2089035,Standard,,58,0
Benefit Cosmetics,foundation-makeup,Benefit Cosmetics - Hello Happy Flawless Brightening Foundation Mini,False,True,False,False,15.0,0.0,2240232,Standard,,2,0
TOM FORD,foundation-makeup,TOM FORD - Traceless Perfecting Foundation Broad Spectrum SPF 15,False,False,True,False,88.0,0.0,1990316,Standard,,7,0
BECCA,foundation-makeup,BECCA - Ever-Matte Shine Proof Foundation,False,False,False,False,42.0,0.0,1514108,Standard,,121,0
CLINIQUE,foundation-makeup,CLINIQUE - Beyond Perfecting Powder Foundation + Concealer,False,False,True,False,29.5,0.0,2021194,Standard,,5,0
Kat Von D,foundation-makeup,Kat Von D - Lock-It Foundation Kit,False,False,True,True,54.0,0.0,2106201,Standard,$64.00,4,0
philosophy,foundation-makeup,philosophy - Renewed Hope in a Jar Skin Tint,False,False,False,False,39.0,0.0,1898485,Standard,,32,0
beautyblender,foundation-makeup,beautyblender - Power Couple Customizable Foundation Set,True,True,False,True,50.0,0.0,2265486,Standard,$60.00,1,0
Yves Saint Laurent,foundation-makeup,Yves Saint Laurent - All Hours Stick Foundation,False,False,False,False,48.0,0.0,2107282,Standard,,52,0
SEPHORA COLLECTION,foundation-makeup,SEPHORA COLLECTION - Matte Perfection Full Coverage Foundation,False,False,False,True,20.0,0.0,2014785,Standard,,28,0
CLINIQUE,foundation-makeup,CLINIQUE - Chubby in the Nude Foundation Stick,False,False,False,False,28.5,0.0,1775287,Standard,,55,0
ILIA,foundation-makeup,ILIA - Sheer Vivid Tinted Moisturizer SPF 20,False,False,True,False,42.0,0.0,2119345,Standard,,5,0
CLINIQUE,foundation-makeup,CLINIQUE - Even Better Refresh™ Hydrating and Repairing Foundation,False,True,True,False,32.0,0.0,2256758,Standard,,3,0
Guerlain,foundation-makeup,Guerlain - Lingerie de Peau Aqua Nude Foundation,False,False,False,False,49.0,0.0,1967199,Standard,,10,0
surratt beauty,foundation-makeup,surratt beauty - Surreal Skin Foundation Wand,False,False,False,False,65.0,0.0,1686781,Standard,,15,0
boscia,foundation-makeup,boscia - Skin Perfecting BB Cream Broad Spectrum SPF 30,False,False,False,False,38.0,0.0,2168409,Standard,,16,0
Wander Beauty,foundation-makeup,Wander Beauty - Flash Focus Hydrating Foundation Stick,False,False,True,False,40.0,34.0,1813963,Standard,,21,1
bareMinerals,foundation-makeup,bareMinerals - bareSkin® Pure Brightening Serum Foundation Broad Spectrum SPF 20,False,False,False,False,30.0,0.0,1576727,Standard,,571,0
Pretty Vulgar,foundation-makeup,Pretty Vulgar - Cool AF Lava Water Foundation,False,False,False,True,39.0,0.0,2221554,Standard,,3,0
CLINIQUE,foundation-makeup,CLINIQUE - Superbalanced Silk Makeup Broad Spectrum 15,False,False,False,False,28.5,0.0,1841600,Standard,,36,0
