,1 star,2 stars,3 stars,4 stars,5 stars,avg_rating,product_id,review_count
467,64,82,86,178,693,4.2,1505213,"1,103 reviews"
468,15,15,17,17,104,4.1,1587674,168 reviews
469,49,50,100,313,695,4.3,2181238,"1,207 reviews"
470,157,86,36,39,64,2.4,2089811,382 reviews
471,18,12,18,45,159,4.3,1648633,252 reviews
472,7,13,19,33,139,4.3,2072437,211 reviews
473,47,52,66,210,958,4.5,136952,"1,333 reviews"
474,7,4,7,8,29,3.9,2115558,55 reviews
475,21,20,23,18,139,4.1,2053833,221 reviews
476,32,32,39,78,291,4.2,1877505,472 reviews
477,164,135,252,689,"1,843",4.3,1296185,"3,083 reviews"
478,36,27,38,43,308,4.2,1961069,452 reviews
479,9,12,14,12,121,4.3,1987635,168 reviews
480,74,65,121,342,903,4.3,203448,"1,505 reviews"
481,9,16,23,25,49,3.7,2144632,122 reviews
482,69,59,89,191,624,4.2,1370766,"1,032 reviews"
483,0,0,0,0,1,5,2266732,1 review
484,22,18,62,262,514,4.4,2191849,878 reviews
485,11,10,10,28,58,4,1837301,117 reviews
486,0,0,0,1,1,4.5,2264414,2 reviews
487,19,19,25,33,64,3.7,1911700,160 reviews
488,14,15,14,19,63,3.8,2117919,125 reviews
