1 star,2 stars,3 stars,4 stars,5 stars,avg_rating,product_id,review_count,total_ratings,target
138,113,184,522,1437,4.3,1822204,2394,2394,0
51,63,74,152,614,4.3,2211126,954,954,0
63,77,148,605,2468,4.6,1164771,3361,3361,0
65,55,81,281,1098,4.5,999037,1580,1580,0
75,78,123,314,920,4.3,2037554,1510,1510,0
19,12,18,51,100,4.0,1727379,200,200,0
40,61,93,210,527,4.2,1659515,931,931,0
69,62,64,99,111,3.3,2042836,405,405,0
1,3,6,2,22,4.2,2107852,34,34,0
36,43,69,306,894,4.5,2107811,1348,1348,0
36,38,46,83,278,4.1,1478239,481,481,0
20,29,47,234,419,4.3,2117984,749,749,0
3,8,5,18,82,4.4,1899251,116,116,0
14,23,44,149,360,4.4,51532,590,590,0
36,25,26,48,210,4.1,1883677,345,345,0
22,14,14,24,63,3.7,1681303,137,137,0
29,18,51,117,712,4.6,1522184,927,927,0
30,23,32,66,304,4.3,1961135,455,455,0
42,41,60,163,642,4.4,1229095,948,948,0
42,44,69,127,330,4.1,1533629,612,612,0
38,43,64,120,390,4.2,1578285,655,655,0
8,19,13,18,35,3.6,2207652,93,93,0
3,5,3,11,27,4.1,2171577,49,49,0
16,28,26,65,191,4.2,1452671,326,326,0
2,4,2,7,20,4.1,2054153,35,35,0
2,3,2,4,76,4.7,2077659,87,87,0
3,3,4,8,39,4.4,1930429,57,57,0
21,20,39,125,322,4.3,903856,527,527,0
2,0,4,4,11,4.0,1992395,21,21,0
6,7,6,12,31,3.9,1809698,62,62,0
46,37,62,113,274,4.0,1223544,532,532,0
0,1,2,2,19,4.6,2193233,24,24,0
22,18,29,66,251,4.3,1959832,386,386,0
0,4,7,5,24,4.2,1902782,40,40,0
19,22,13,56,132,4.1,1452457,242,242,0
5,5,9,8,29,3.9,1861897,56,56,0
3,2,1,4,29,4.4,2224434,39,39,0
2,1,2,5,13,4.1,1918788,23,23,0
4,15,65,225,600,4.5,2109189,909,909,0
1,1,3,10,19,4.3,2079283,34,34,0
42,32,46,37,158,3.8,1961515,315,315,0
5,6,13,17,90,4.4,1903434,131,131,0
2,1,0,3,6,3.8,2042927,12,12,0
16,14,17,19,49,3.6,1579218,115,115,0
3,1,0,3,10,3.9,2195147,17,17,0
0,0,1,0,6,4.7,2192649,7,7,0
8,10,7,11,31,3.7,2107316,67,67,0
1,0,1,0,2,3.5,2198950,4,4,0
1,3,1,2,8,3.9,1798412,15,15,0
0,0,0,0,6,5.0,2132777,6,6,0
5,4,4,11,84,4.5,1589126,108,108,0
1,2,4,6,17,4.2,1998087,30,30,0
2,1,7,3,5,3.4,2008118,18,18,0
4,5,7,18,46,4.2,2070068,80,80,0
6,5,5,13,17,3.7,2107860,46,46,0
9,13,15,30,84,4.1,1956796,151,151,0
12,9,19,19,108,4.2,1768266,167,167,0
0,0,2,2,9,4.5,1992536,13,13,0
4,1,4,16,81,4.6,1845338,106,106,0
0,5,3,3,41,4.5,1358282,52,52,0
2,0,0,2,7,4.1,2080323,11,11,0
22,11,14,18,50,3.5,1552538,115,115,0
74,45,61,140,386,4.0,1768290,706,706,0
1,2,2,4,23,4.4,1844182,32,32,0
4,1,6,5,24,4.1,1903442,40,40,0
1,3,2,6,24,4.4,1358274,36,36,0
1,1,0,1,5,4.0,1926443,8,8,0
0,0,0,1,2,4.7,1927987,3,3,0
2,2,0,7,12,4.1,1795558,23,23,0
0,0,2,0,1,3.7,1572189,3,3,0
27,37,59,120,785,4.6,2113033,1028,1028,0
66,77,131,377,2564,4.6,2211076,3215,3215,0
75,122,231,659,3866,4.6,1721240,4953,4953,0
153,181,212,458,1911,4.3,1483502,2915,2915,0
8,18,20,34,240,4.5,2116044,320,320,0
81,135,212,565,1684,4.4,1888759,2677,2677,0
163,206,350,770,2686,4.3,2209344,4175,4175,0
2,4,8,18,84,4.5,2115939,116,116,0
112,36,28,37,93,2.9,2218725,306,306,0
69,93,125,281,1108,4.4,1606086,1676,1676,0
2,13,23,132,477,4.7,2224954,647,647,0
1,1,2,8,64,4.8,2201226,76,76,0
63,77,148,605,2468,4.6,1164771,3361,3361,0
65,31,32,54,150,3.6,2067809,332,332,0
85,113,157,331,661,4.0,1629500,1347,1347,0
0,0,1,0,4,4.6,2242782,5,5,0
63,117,194,432,955,4.2,1475540,1761,1761,0
28,32,86,289,1337,4.6,1890615,1772,1772,0
10,19,21,45,192,4.4,1833508,287,287,0
47,53,89,202,863,4.4,825802,1254,1254,0
9,18,32,85,642,4.7,1993948,786,786,0
18,31,73,207,673,4.5,2018885,1002,1002,0
26,16,20,9,49,3.3,2221380,120,120,0
26,26,34,84,300,4.3,2055986,470,470,0
23,42,69,181,686,4.5,1925775,1001,1001,0
54,69,112,241,1126,4.4,1904820,1602,1602,0
0,1,2,1,21,4.7,2222834,25,25,0
14,27,68,347,1227,4.6,2207710,1683,1683,0
9,9,12,58,195,4.5,1636828,283,283,0
3,5,9,20,48,4.2,2201408,85,85,0
29,18,51,117,712,4.6,1522184,927,927,0
0,1,1,1,9,4.5,2219608,12,12,0
17,12,32,49,145,4.1,1782069,255,255,0
7,16,17,40,321,4.6,2105120,401,401,0
0,0,2,2,21,4.8,2235679,25,25,0
